Title,Page
Sonnet to his friend Maister R. L.,476
An Ode,477
Robert Southwell (1562?-1594),479
Times go by Turns,482
Loss in Delay,482
The Burning Babe,484
Extract from St. Peter's Complaint,484
Sir Walter Raleigh (1552-1618),486
A Vision upon this Conceit of The Fairy Queen,489
Reply to Marlowe's 'The Passionate Shepherd to His Love',489
The Lie,490
His Pilgrimage,492
Verses found in his Bible at the Gate-House at Westminster,494
Elizabethan Miscellanies,495
From The Paradyse of Dainty Devises:,
Amantium Irae (R. Edwards),498
From A Handefull of Pleasant Delites:,
A Proper Sonnet (Anon.),498
From The Arbor of Amorous Devises:,
A Sweet Lullaby (Anon.),500
From England's Helicon:,
A Palinode (Edmund Bolton),501
Phillida and Corydon (Nicholas Breton),502
To Colin Clout (Shepherd Tonie),503
"Phillida's Love-call to her Corydon, and his Replying (Ignoto)",503
From Davison's Poetical Rapsody:,
"A Fiction: how Cupid made a Nymph wound herself with his Arrows (Anon., but attributed to A. W.)",505
A Sonnet to the Moon (Charles Best),507
Sonnet (J. Sylvester),507
A Hymn in Praise of Neptune (T. Campion),508
Of Corinna's Singing (T. Campion),508
Madrigals,509
George Chapman (1557? 1559?-1634),510
The Thames (from Ovid's Banquet of Sense),516
The Spirit of Homer (from The Tears of Peace),516
The Procession of Time,517
Helen on the Rampart (from Iliad III),518
The Camp at Night (from Iliad VIII),519
"The grief of Achilles for the slaying of Patroclus, Menoetius' Son (from Iliad XVIII)",520
Hermes in Calypso's Island (from Odyssey V),521
Odysseus' Speech to Nausicaa (from Odyssey VI),522
The Song the Sirens sung (from Odyssey XII),524
Odysseus reveals himself to his Father (from Odyssey XXIV),524
Michael Drayton (1563-1631),526
"Queen Margaret to William de la Pool, Duke of Suffolk",529
"To the Cambro-Britons and their Harp, his Ballad of Agincourt",530
The Arming of Pigwiggen (from Nymphidia),534
Extract from Polyolbion,535
Joseph Hall (1574-1656),537
The Golden Age,540
Hollow Hospitality,541
A Coxcomb,542
A Deserted Mansion,542
Advice to Marry betimes,543
John Marston (?-?),544
To Detraction,546
To Everlasting Oblivion,546
Sir John Davies (d. 1626),548
Extracts from Nosce Teipsum:,
The Soul compared to a River,551
The Soul compared to a Virgin wooed in Marriage,552
"Extract from Orchestra, or A Poeme of Dauncing:",
Antinous praises dancing before Queen Penelope,553
"From Hymnes of Astrea, in Acrostic Verse:",
To the Spring,556
To the Nightingale,556
To the Month of September,557
John Donne (1573-1631),558
Song,361
A Valediction forbidding Mourning,561
Song,563
From Verses to Sir Henry Wootton,564
The Will,565
