title,page_number
William Collins,
Fidele,475
Ode Written in MDCCXLVI,476
The Passions,476
To Evening,479
George Sewell,
The Dying Man in His Garden,481
Alison Rutherford Cockburn,
The Flowers of the Forest,482
Jane Elliot,
Lament for Flodden,483
Christopher Smart,
A Song to David,484
Anonymous,
Willy Drowned in Yarrow,498
John Logan,
The Braes of Yarrow,500
Henry Fielding,
A Hunting Song,501
Charles Dibdin,
Tom Bowling,502
Samuel Johnson,
On the Death of Dr. Robert Levet,503
A Satire,504
Oliver Goldsmith,
When Lovely Woman Stoops,505
Retaliation,505
The Deserted Village,509
"The Traveller; or, A Prospect of Society",520
Robert Graham of Gartmore,
If Doughty Deeds,531
Adam Austin,
For Lack of Gold,532
William Cowper,
Loss of the Royal George,533
To a Young Lady,534
The Poplar Field,534
The Solitude of Alexander Selkirk,535
To Mary Unwin,536
To the Same,537
Boadicea: An Ode,539
The Castaway,540
The Shrubbery,542
On the Receipt of My Mother's Picture Out of Norfolk,543
The Diverting History of John Gilpin,546
Richard Brinsley Sheridan,
Drinking Song,554
Anna Laetitia Barbauld,
Life,555
Isobel Pagan (?),
Ca' the Yowes to the Knowes,556
Lady Anne Lindsay,
Auld Robin Gray,557
Thomas Chatterton,
Song from Ælla,558
"Carolina Oliphant, Lady Nairne",
The Land o' the Leal,560
He's Ower the Hills that I Lo'e Weel,560
The Auld House,561
The Laird o' Cockpen,563
The Rowan Tree,564
Wha'll Be King But Charlie?,564
Charlie Is My Darling,566
Alexander Ross,
Wooed and Married and A',567
John Skinner,
Tullochgorum,568
Michael Bruce,
To the Cuckoo,570
George Halket,
Logie o' Buchan,571
William Hamilton of Bangour,
The Braes of Yarrow,572
Hector MacNeil,
I Lo'ed Ne'er a Laddie but Ane,576
Come Under My Plaidie,577
Sir William Jones,
An Ode,579
On Parent Knees a Naked New-born Child,580
Susanna Blamire,
And Ye Shall Walk in Silk Attire,580
Anne Hunter,
My Mother Bids Me Bind My Hair,581
John Dunlop,
"The Year, That's Awa'",581
Samuel Rogers,
A Wish,582
The Sleeping Beauty,582
William Blake,
The Tiger,583
Ah! Sun-Flower,584
To Spring,584
Reeds of Innocence,584
Night,585
Auguries of Innocence,586
Nurse's Song,590
Holy Thursday,590
The Divine Image,591
Song,591
John Collins,
To-Morrow,592
Robert Tannahill,
"Jessie, the Flower o' Dunblane",593
Gloomy Winter's Now Awa',594
William Wordsworth,
Ode on Intimations of Immortality from Recollections of Early Childhood,595
My Heart Leaps Up,600
The Two April Mornings,600
The Fountain,602
Written in March,604
Nature and the Poet,605
Ruth: Or the Influences of Nature,607
A Lesson,614
Michael,615
Yarrow Unvisited,627
Yarrow Visited,629
Yarrow Revisited,631
Lines Composed a Few Miles Above Tintern Abbey,635
The Daffodils,639
To the Daisy,640
To the Cuckoo,641
The Green Linnet,642
Written in Early Spring,643
To the Skylark,644
The Affliction of Margaret,644
Simon Lee the Old Huntsman,647
Ode to Duty,649
She Was a Phantom of Delight,651
To the Highland Girl of Inversneyde,652
The Solitary Reaper,654
The Reverie of Poor Susan,655
To Toussaint L'Ouverture,655
Character of the Happy Warrior,656
Resolution and Independence,658
Laodamia,662
We Are Seven,667
Lucy,669
The Inner Vision,672
By the Sea,673
Upon Westminster Bridge,673
To a Distant Friend,674
Desideria,674
We Must Be Free or Die,675
England and Switzerland,675
On the Extinction of the Venetian Republic,676
"London, MDCCCII",676
The Same,677
When I Have Borne,677
The World is Too Much With Us,678
"Within King's College Chapel, Cambridge",678
Valedictory Sonnet to the River Duddon,679
"Composed at Neidpath Castle, the Property of Lord Queensberry",679
Admonition to a Traveller,680
To Sleep,680
The Sonnet,681
William Lisle Bowles,
Dover Cliffs,682
Samuel Taylor Coleridge,
The Rime of the Ancient Mariner,682
Kubla Khan,701
Youth and Age,703
Love,704
"Hymn Before Sunrise, in the Vale of Chamouni",707
Christabel,709
Dejection: An Ode,728
Robert Southey,
After Blenheim,732
The Scholar,734
Charles Lamb,
The Old Familiar Faces,735
Hester,735
On an Infant Dying as Soon as Born,736
Sir Walter Scott,
The Outlaw,738
To a Lock of Hair,740
Jock of Hazeldean,741
Eleu Loro,742
A Serenade,743
The Rover,743
The Maid of Neidpath,744
Gathering Song of Donald the Black,745
Border Ballad,746
The Pride of Youth,746
Coronach,747
Lucy Ashton's Song,748
Answer,748
Rosabelle,748
Hunting Song,750
Lochinvar,751
Bonny Dundee,752
Datur Hora Quieti,754
Here's a Health to King Charles,754
"Harp of the North, Farewell!",755
James Hogg,
Kilmeny,756
When the Kye Comes Hame,765
The Skylark,767
"Lock the Door, Lariston",767
Robert Surtees,
Barthram's Dirge,769
Thomas Campbell,
The Soldier's Dream,770
To the Evening Star,771
Ode to Winter,771
Lord Ullin's Daughter,773
The River of Life,775
To the Evening Star,776
The Maid of Neidpath,777
Ye Mariners of England,777
Battle of the Baltic,779
Hohenlinden,781
J. Campbell,
Freedom and Love,782
Allan Cunningham,
"Hame, Hame, Hame",782
A Wet Sheet and a Flowing Sea,783
"George Gordon, Lord Byron",
Youth and Age,784
The Destruction of Sennacherib,785
Elegy on Thyrza,785
When We Two Parted,787
For Music,788
She Walks in Beauty,789
All For Love,789
Elegy,790
To Augusta,790
Epistle to Augusta,792
Maid of Athens,795
Darkness,796
Longing,798
Fare Thee Well,799
The Prisoner of Chillon,801
On the Castle of Chillon,811
Song of Saul Before His Last Battle,812
The Isles of Greece,812
On This Day I Complete My Thirty-Sixth Year,815
Thomas Moore,
The Light of Other Days,816
Pro Patria Mori,817
The Meeting of the Waters,817
The Last Rose of Summer,818
The Harp that Once Through Tara's Halls,819
A Canadian Boat-Song,819
The Journey Onwards,820
The Young May Moon,821
Echo,821
At the Mid Hour of Night,822
Charles Wolfe,
The Burial of Sir John Moore at Corunna,822
Percy Bysshe Shelley,
Hymn of Pan,823
Hellas,824
Invocation,825
Stanzas Written in Dejection Near Naples,827
I Fear Thy Kisses,828
Lines to an Indian Air,828
To a Skylark,829
Love's Philosophy,832
To the Night,832
Ode to the West Wind,833
"Written Among the Euganean Hills, North Italy",835
Hymn to the Spirit of Nature,841
A Lament,842
A Dream of the Unknown,842
The Invitation,843
The Recollection,845
To the Moon,847
A Widow Bird,848
"To a Lady, with a Guitar",848
One Word is Too Often Profaned,850
Ozymandias of Egypt,851
The Flight of Love,851
The Cloud,852
"Stanzas—April, 1814",854
"Music, When Soft Voices Die",855
The Poet's Dream,855
The World's Wanderers,856
Adonais,856
James Henry Leigh Hunt,
Jenny Kiss'd Me,870
Abou Ben Adhem,870
John Keats,
The Realm of Fancy,871
Ode on the Poets,873
The Mermaid Tavern,874
Happy Insensibility,875
Ode to a Nightingale,876
Ode on a Grecian Urn,878
Ode to Autumn,879
Ode to Psyche,880
Ode on Melancholy,882
The Eve of St. Agnes,883
La Belle Dame Sans Merci,893
On the Grasshopper and Cricket,895
On First Looking into Chapman's Homer,895
To Sleep,896
The Human Seasons,896
Great Spirits Now on Earth Are Sojourning,897
The Terror of Death,897
Last Sonnet,898
Walter Savage Landor,
Rose Aylmer,898
Twenty Years Hence,898
Proud Word You Never Spoke,899
Absence,899
Dirce,899
"Corinna to Tanagra, from Athens",899
"Mother, I Cannot Mind My Wheel",901
Well I Remember,901
"No, My Own Love",901
Robert Browning,902
The Death of Artemidora,902
Iphigeneia,903
'Do You Remember Me?',904
For an Epitaph at Fiesole,904
On Lucretia Borgia's Hair,904
On His Seventy-Fifth Birthday,905
To My Ninth Decade,905
Death Stands Above Me,905
On Living Too Long,905
Thomas Hood,
Fair Ines,905
The Bridge of Sighs,907
The Death Bed,910
Past and Present,910
Sir Aubrey De Vere,
Glengariff,911
Hartley Coleridge,
She is Not Fair,912
Joseph Blanco White,
To Night,913
George Darley,
The Loveliness of Love,913
"Thomas Babington Macaulay, Lord Macaulay",
The Armada,915
A Jacobite's Epitaph,917
Sir William Edmondstoune Aytoun,
The Refusal of Charon,917
Hugh Miller,
The Babie,918
"Helen Selina, Lady Dufferin",
Lament of the Irish Emigrant,919
Charles Tennyson Turner,
Letty's Globe,921
Sir Samuel Ferguson,
The Fair Hills of Ireland,921
Elizabeth Barrett Browning,
A Musical Instrument,922
"Sonnets from the Portuguese, 1-44",923-941
The Sleep,941
Edward Fitzgerald,
Rubaiyat of Omar Khayyam of Naishápúr,943
